mx	my	mz	ax	ay	az	gx	gy	gz	ms
-123	0516	0299	-007	-076	-243	-0003	00001	00009	106
-133	0512	0293	-011	-074	-249	-0011	00021	00001	107
-121	0518	0293	-008	-071	-237	00001	00020	-0004	108
-125	0519	0288	-008	-072	-248	00005	00012	00006	109
-135	0524	0286	-005	-078	-245	-0013	00005	00002	110
-129	0522	0291	-006	-075	-257	-0007	00005	00007	111
-124	0525	0290	-008	-076	-237	00015	00011	00001	112
-128	0529	0282	-006	-071	-241	-0009	-0005	00000	113
-129	0517	0283	-003	-075	-234	00036	00006	00017	114
-128	0524	0295	-008	-076	-255	-0013	00022	00001	115
-136	0516	0294	-002	-080	-242	00017	00011	00017	116
-134	0520	0300	-002	-075	-249	-0004	00013	00008	117
-140	0524	0287	-006	-072	-239	-0017	00013	00000	118
-128	0515	0294	-009	-077	-246	00009	-0002	00009	119
-126	0515	0291	-002	-079	-249	-0021	00020	00000	120
-128	0526	0292	-003	-073	-246	00010	00005	00007	121
-129	0513	0288	-009	-078	-249	00009	00027	00010	122
-133	0524	0294	-005	-080	-248	00002	00008	-0003	123
-131	0522	0287	-009	-079	-243	00000	00022	00010	124
-130	0524	0292	-006	-078	-240	-0001	00000	00005	125
-140	0516	0295	-010	-073	-241	-0001	00010	-0002	126
-132	0517	0286	-004	-081	-237	00026	00048	00019	127
-129	0517	0281	-007	-074	-249	-0027	-0027	00000	128
-136	0519	0294	0001	-086	-241	-0005	00027	00011	129
-134	0524	0292	-007	-080	-240	00008	00024	00007	130
-131	0522	0286	-011	-082	-239	-0006	00006	00000	131
-132	0514	0292	0000	-081	-255	00027	00005	00004	132
-126	0523	0292	-008	-069	-240	-0005	00019	00006	133
-124	0522	0290	-014	-087	-248	-0013	00022	00001	134
-126	0531	0285	-011	-082	-245	-0001	00014	00010	135
-128	0523	0296	-007	-080	-241	00008	00011	00007	136
-128	0510	0293	-007	-080	-259	00020	00007	00010	137
-132	0525	0293	-013	-070	-247	-0013	00007	00004	138
-133	0517	0287	-009	-083	-249	00018	00015	00002	139
-133	0518	0286	-005	-073	-241	-0005	-0001	00004	140
-136	0528	0285	-009	-077	-246	00000	00006	00001	141
-133	0531	0295	-007	-084	-238	00008	00021	00008	142
-129	0519	0284	-006	-078	-244	-0006	00017	00005	143
-126	0517	0295	-009	-073	-244	00004	00026	-0001	144
-124	0524	0291	-007	-067	-243	-0002	00009	00013	145
-122	0523	0287	-006	-075	-242	-0008	-0002	00003	146
-124	0520	0285	-012	-078	-245	00038	00023	00009	147
-123	0519	0288	-015	-081	-247	00036	00014	-0003	148
-122	0522	0289	-012	-082	-235	-0010	00035	00002	149
-110	0523	0302	-013	-075	-247	00060	00048	00026	150
-117	0520	0299	-016	-079	-250	00046	00102	00003	151
-114	0494	0297	-012	-068	-236	00039	00134	00020	152
-097	0488	0299	-026	-060	-244	00050	00144	00063	153
-098	0476	0298	-022	-049	-242	00075	00109	-0013	154
-079	0450	0310	-036	-046	-248	00120	00145	00015	155
-067	0453	0303	-036	-032	-249	00170	00071	-0018	156
-056	0448	0300	-049	-031	-249	00173	00035	00019	157
-047	0444	0303	-047	-033	-241	00076	00058	00009	158
-041	0435	0308	-059	-031	-252	00098	00081	00023	159
-019	0430	0297	-071	-025	-240	00092	00027	00012	160
-019	0425	0295	-063	-027	-243	00038	00033	00021	161
-023	0431	0295	-065	-018	-244	-0016	00027	00024	162
-021	0424	0302	-070	-018	-240	00087	00010	00006	163
-018	0425	0299	-070	-023	-239	00011	00040	00022	164
-008	0420	0299	-069	-022	-236	-0013	00046	00017	165
-013	0424	0307	-068	-007	-241	00041	00018	-0003	166
-007	0414	0302	-069	-026	-242	-0020	00019	00026	167
-011	0425	0300	-066	-018	-234	00044	-0013	00009	168
-014	0408	0296	-074	-010	-237	00025	00017	-0008	169
-012	0412	0298	-070	-014	-238	-0009	00013	00003	170
-006	0421	0289	-073	-012	-235	00013	00023	00006	171
-008	0419	0299	-073	-014	-227	00024	00004	00006	172
-003	0413	0296	-074	-019	-219	-0110	-0068	00068	173
-009	0414	0301	-066	-017	-245	00052	00055	-0050	174
-001	0423	0294	-074	-022	-240	00017	00003	00023	175
0000	0409	0297	-075	-025	-246	-0033	00051	-0003	176
-004	0412	0292	-065	-016	-247	00022	00003	00002	177
-003	0410	0293	-076	-022	-242	00008	00012	00010	178
-003	0416	0302	-071	-012	-242	-0052	00006	00001	179
-017	0413	0308	-069	-017	-250	00006	00002	00003	180
-009	0414	0300	-077	-027	-247	00010	00017	00009	181
-012	0418	0299	-075	-017	-241	-0005	00005	00007	182
-009	0419	0293	-075	-016	-242	-0040	-0035	00013	183
-017	0412	0301	-061	-022	-248	-0053	00008	00006	184
-015	0419	0307	-064	-019	-232	-0004	00010	00010	185
-018	0421	0301	-064	-019	-241	-0002	00009	00013	186
-014	0419	0301	-063	-022	-238	-0013	00007	00001	187
-016	0415	0294	-069	-028	-246	-0052	00006	-0001	188
-029	0423	0300	-067	-026	-247	00012	00024	00002	189
-017	0413	0298	-059	-023	-233	00018	00008	00000	190
-014	0420	0303	-058	-025	-237	00003	00015	00014	191
-016	0417	0303	-060	-023	-253	00015	00013	00009	192
-018	0414	0295	-063	-024	-244	00026	00014	00006	193
-015	0418	0292	-066	-012	-243	-0013	00012	00006	194
-026	0421	0304	-067	-018	-242	00010	00007	00005	195
-015	0415	0303	-065	-020	-241	-0005	00009	00002	196
-018	0421	0299	-064	-025	-241	-0006	00007	00000	197
-030	0416	0303	-074	-019	-248	-0061	00015	00006	198
-033	0432	0306	-059	-026	-247	-0079	00005	00013	199
-047	0418	0307	-054	-025	-249	-0152	-0005	-0005	200
-061	0431	0311	-047	-025	-254	-0158	-0011	00009	201
-084	0428	0315	-042	-028	-245	-0125	-0023	00010	202
-083	0434	0315	-028	-037	-254	-0142	00013	00024	203
-099	0447	0324	-021	-029	-256	-0083	00049	00011	204
-109	0429	0317	-014	-017	-257	-0138	00042	00004	205
-128	0419	0327	-006	-032	-254	-0185	00054	00001	206
-144	0424	0331	-016	-023	-246	-0183	00020	00000	207
-155	0410	0341	0003	-021	-261	-0121	00026	-0004	208
-166	0411	0339	0004	-015	-253	-0205	00007	-0008	209
-184	0417	0342	0014	-018	-257	-0121	00022	-0011	210
-192	0417	0331	0024	-011	-254	-0079	00001	-0005	211
-190	0422	0342	0025	-016	-251	-0084	00014	-0001	212
-207	0414	0334	0034	-018	-248	-0111	00043	-0010	213
-216	0403	0332	0043	-022	-250	-0036	00031	00000	214
-214	0412	0328	0036	-020	-250	-0025	00019	00014	215
-217	0406	0340	0034	-016	-255	-0064	00001	00002	216
-231	0407	0342	0055	-013	-249	00007	00022	00001	217
-224	0405	0335	0041	-011	-249	-0052	00018	00002	218
-195	0414	0338	0038	-016	-254	00342	-0038	00013	219
-152	0420	0334	0021	-025	-258	00333	00001	00007	220
-136	0425	0328	-007	-023	-247	00084	-0021	00005	221
-124	0421	0332	-008	-018	-257	00055	-0004	-0007	222
-130	0421	0325	-016	-026	-256	00087	00050	00007	223
-107	0395	0330	-012	-015	-250	00071	00153	00047	224
-097	0382	0331	-016	-008	-247	00068	00164	00055	225
-099	0366	0337	-023	0001	-255	-0031	00103	00008	226
-088	0364	0333	-024	0006	-252	00058	00122	00025	227
-099	0352	0334	0017	0042	-317	-0024	00099	00021	228
-103	0345	0337	-024	0016	-255	-0029	00019	00004	229
-095	0338	0347	-030	0023	-229	00008	00040	00025	230
-100	0341	0343	-023	0017	-246	-0040	00033	-0008	231
-094	0325	0349	-019	0025	-253	00019	00061	00025	232
-101	0328	0352	-023	0020	-248	00020	00040	-0004	233
-097	0327	0349	-015	0019	-253	-0040	00026	00009	234
-099	0328	0356	-024	0022	-247	00001	00030	00005	235
-093	0322	0348	-016	0021	-244	-0030	00040	00005	236
-094	0325	0349	-028	0028	-237	00007	00030	00013	237
-093	0317	0352	-017	0028	-259	00018	00020	00009	238
-100	0310	0350	-021	0023	-248	00010	00028	00009	239
-095	0317	0351	-013	0036	-246	00012	00021	00006	240
-095	0313	0353	-017	0036	-248	-0007	00029	00002	241
-100	0317	0343	-011	0032	-246	-0016	00021	00008	242
-100	0315	0352	-019	0027	-248	00036	-0007	00015	243
-096	0311	0343	-014	0030	-248	-0019	-0008	00006	244
-096	0307	0351	-027	0023	-254	-0008	00050	00016	245
-104	0296	0350	-022	0028	-244	-0003	00047	00006	246
-097	0310	0354	-015	0040	-241	00016	00042	00006	247
-095	0302	0349	-021	0035	-253	00028	00050	00024	248
-093	0296	0353	-021	0034	-256	00005	00030	-0002	249
-081	0306	0357	-019	0040	-242	-0004	00014	00009	250
-089	0300	0356	-030	0028	-253	00006	00018	-0004	251
-096	0310	0350	-020	0042	-255	-0031	-0012	00009	252
-099	0307	0345	-014	0046	-248	-0057	-0002	00001	253
-120	0302	0351	-019	0039	-241	-0110	-0024	-0002	254
-117	0312	0351	-006	0032	-248	-0102	-0014	00016	255
-126	0306	0363	-004	0030	-244	-0073	-0021	00003	256
-152	0313	0348	0000	0032	-253	-0078	-0005	00020	257
-149	0324	0346	0015	0033	-254	-0130	-0007	-0001	258
-167	0319	0352	0008	0025	-255	-0099	00006	00022	259
-177	0327	0349	0013	0029	-245	-0061	00000	00004	260
-161	0318	0355	0013	0022	-247	00047	00008	00001	261
-146	0312	0359	0016	0032	-253	00153	00016	00004	262
-127	0315	0343	0008	0026	-261	00229	00042	00002	263
-101	0317	0354	-002	0029	-245	00196	00009	-0013	264
-087	0321	0356	-021	0030	-257	00138	-0003	00021	265
-076	0311	0343	-032	0030	-255	00150	00003	00021	266
-059	0317	0335	-028	0027	-247	00136	-0009	00030	267
-042	0311	0332	-031	0032	-242	00130	00024	-0008	268
-034	0321	0339	-050	0026	-245	00066	00030	-0009	269
-035	0313	0327	-048	0030	-251	00045	00010	00006	270
-031	0323	0330	-056	0036	-239	-0005	00040	-0002	271
-022	0319	0335	-052	0021	-241	00034	-0004	-0008	272
-025	0311	0337	-056	0027	-246	00023	-0005	00012	273
-035	0314	0339	-057	0036	-238	-0080	-0011	00006	274
-052	0324	0334	-045	0027	-245	-0181	-0024	00003	275
-070	0320	0339	-040	0026	-248	-0159	-0030	-0002	276
-074	0338	0332	-035	0022	-248	-0151	-0110	-0012	277
-090	0362	0341	-021	0012	-253	-0012	-0277	-0018	278
-091	0386	0336	-024	0004	-262	-0070	-0204	-0045	279
-110	0418	0329	-012	-010	-261	-0009	-0201	-0023	280
-119	0429	0323	-003	-025	-256	-0005	-0090	00025	281
-123	0436	0318	-019	-022	-250	00028	-0013	00046	282
-119	0442	0317	-001	-033	-256	00039	-0078	-0019	283
-114	0452	0315	-006	-037	-254	00038	-0099	00001	284
-108	0461	0308	-008	-043	-249	-0017	-0079	00002	285
-115	0474	0312	-011	-049	-246	00040	-0087	-0003	286
-105	0483	0300	-004	-053	-245	-0002	-0087	00000	287
-116	0488	0302	-007	-064	-242	00033	-0021	00008	288
-110	0494	0300	-010	-061	-241	00010	-0025	00014	289
-107	0499	0290	-011	-069	-258	00005	00025	-0012	290
-104	0490	0312	-011	-058	-246	00003	00051	00000	291
-116	0465	0312	-011	-059	-245	-0047	00263	-0014	292
-120	0449	0327	-004	-042	-245	-0126	00248	-0013	293
-128	0428	0334	0001	-031	-254	-0060	00134	-0017	294
-118	0419	0325	-010	-018	-256	00079	00036	-0011	295
-119	0431	0328	-037	-052	-246	-0091	00044	00040	296
-116	0426	0326	-007	-016	-254	00020	00027	-0002	297
-121	0422	0327	-009	-021	-248	00100	-0013	00022	298
-118	0424	0331	-026	-027	-245	00006	00064	-0123	299
-089	0409	0315	-009	-019	-253	00204	00012	00044	300
-091	0415	0314	-023	-002	-262	-0096	-0050	-0002	301
-075	0379	0326	-053	-014	-249	00000	00382	00084	302
-093	0375	0326	-018	-007	-271	-0102	-0052	00030	303
-094	0397	0321	-017	-010	-248	-0011	-0147	00011	304
-093	0389	0325	-009	-013	-248	00024	00026	00051	305
-094	0384	0333	-018	-022	-252	00033	00044	00039	306
