mx	my	mz	ax	ay	az	gx	gy	gz	ms
-103	0402	0326	-011	-008	-250	-0002	00021	00006	462
-103	0395	0330	-013	-008	-257	-0008	00000	00010	463
-091	0392	0327	-011	-017	-257	-0002	00002	00002	464
-110	0380	0332	-013	-021	-250	-0001	00038	00030	465
-100	0396	0330	-016	-010	-259	-0004	00014	00010	466
-109	0391	0329	-016	-016	-251	-0024	00011	00007	467
-108	0383	0320	-021	-019	-248	00035	00018	00011	468
-099	0389	0324	-014	-011	-257	-0024	00028	-0002	469
-104	0381	0334	-021	-019	-253	-0005	00014	00005	470
-108	0384	0326	-010	-011	-248	-0009	-0001	-0018	471
-108	0392	0332	-023	-016	-256	00027	-0001	-0008	472
-103	0382	0331	-023	-018	-255	00051	00048	00017	473
-097	0392	0325	-022	-012	-249	00021	00017	-0002	474
-097	0379	0320	-032	-018	-249	-0070	-0002	00013	475
-107	0381	0331	-016	-018	-255	00080	00030	00009	476
-092	0376	0332	-015	-013	-247	00028	00027	00004	477
-100	0376	0334	-021	-013	-247	-0016	00001	00002	478
-111	0387	0337	-026	-021	-254	00021	00028	00028	479
-108	0380	0325	-014	-013	-264	00000	-0024	00003	480
-097	0377	0327	-027	-013	-261	00009	-0014	00000	481
-109	0372	0343	-022	-004	-253	-0017	00037	00011	482
-094	0374	0333	-012	-021	-256	00031	00040	00005	483
-101	0367	0343	-018	-006	-264	00051	00031	-0009	484
-097	0372	0333	-031	-009	-249	00019	00028	00000	485
-098	0362	0338	-024	-012	-244	-0042	00026	00025	486
-097	0376	0334	-017	-002	-245	-0013	-0019	-0015	487
-099	0386	0339	-021	-011	-252	-0026	-0062	-0012	488
-101	0378	0338	-016	-015	-255	-0020	00011	00008	489
-098	0382	0335	-024	-016	-248	-0006	00030	00024	490
-109	0379	0331	-022	-019	-254	00007	00021	00011	491
-105	0389	0340	-026	-007	-255	-0033	00006	-0011	492
-099	0377	0333	-020	-006	-248	00025	00002	-0019	493
-101	0372	0329	-021	-012	-253	-0001	00024	00012	494
-104	0379	0334	-018	-008	-249	00002	00012	00011	495
-109	0389	0328	-021	-010	-255	-0003	00013	00005	496
-094	0380	0323	-020	-014	-253	00021	00035	00010	497
-096	0377	0329	-029	-010	-255	-0010	00060	00022	498
-099	0379	0325	-024	-006	-249	-0017	00003	00018	499
-102	0377	0323	-024	-015	-249	-0005	00004	00003	500
-099	0376	0329	-016	-010	-254	-0005	00040	00002	501
-099	0386	0326	-021	-008	-255	00009	00031	-0005	502
-095	0380	0322	-016	0001	-260	00020	00005	-0002	503
-097	0384	0322	-016	-007	-260	-0022	00006	-0013	504
-096	0375	0325	-014	-005	-245	00034	00007	-0004	505
-092	0387	0329	-023	-004	-246	-0020	00032	-0004	506
-097	0386	0323	-023	-003	-243	-0014	00069	00001	507
-106	0402	0328	0009	-010	-268	-0195	-0107	00020	508
-108	0399	0327	-015	-041	-217	-0098	00138	00019	509
-119	0429	0321	-011	-014	-242	-0021	-0163	-0032	510
-130	0423	0329	-009	-025	-274	00006	-0093	00015	511
-127	0432	0327	-013	-025	-258	00022	00031	00025	512
-128	0422	0333	-002	-033	-256	-0050	00024	-0014	513
-131	0432	0331	0000	-031	-242	-0010	00029	00015	514
-135	0434	0326	0005	-024	-253	00040	00008	-0024	515
-141	0424	0327	0004	-021	-254	00049	00010	00014	516
-129	0426	0330	-002	-031	-250	-0003	00017	00001	517
-134	0426	0324	0003	-029	-253	-0032	00017	00007	518
-128	0429	0335	0002	-026	-261	-0050	00020	00007	519
-133	0431	0324	-002	-027	-248	00008	00013	00009	520
-131	0429	0332	-001	-022	-257	00024	00007	-0001	521
-131	0436	0316	0005	-028	-251	00028	00006	00009	522
-141	0424	0315	-013	-033	-254	00005	00017	00003	523
-131	0429	0325	0004	-025	-267	-0010	00023	00002	524
-141	0432	0328	0001	-031	-250	-0017	00038	00011	525
-127	0427	0335	-004	-031	-253	00001	00027	00001	526
-132	0437	0336	0000	-026	-253	-0020	00015	00003	527
-139	0428	0322	0001	-024	-257	00056	-0009	00004	528
-136	0436	0325	0004	-026	-254	00025	-0008	-0002	529
-134	0429	0334	0004	-027	-252	-0010	00018	00003	530
-130	0432	0322	0001	-025	-251	-0056	00025	00013	531
-143	0425	0333	-004	-028	-245	-0038	00020	00004	532
-131	0443	0322	-004	-026	-256	00006	00015	00013	533
-137	0426	0330	0007	-023	-253	00017	-0002	00010	534
-129	0433	0326	-004	-025	-262	00009	00003	00011	535
-128	0431	0334	0006	-025	-256	00024	00010	00000	536
-131	0434	0329	0005	-028	-252	00009	00022	00017	537
-139	0432	0325	0000	-025	-262	-0003	00013	00004	538
-136	0436	0325	-001	-024	-254	-0017	00006	00003	539
-135	0423	0331	0004	-031	-257	-0003	00009	00002	540
-139	0426	0328	0001	-031	-262	00003	00008	00001	541
-139	0424	0332	0003	-023	-254	00011	00012	00005	542
-139	0430	0333	0005	-022	-252	00006	00012	00008	543
-138	0430	0334	0005	-026	-259	00003	00013	-0004	544
-130	0430	0328	-003	-023	-250	-0004	00020	00008	545
-132	0427	0328	-006	-021	-256	00006	00006	00009	546
-141	0433	0330	0004	-023	-251	-0015	00010	-0005	547
-134	0434	0334	-002	-025	-247	00000	00018	00010	548
-132	0430	0331	0008	-023	-248	00004	00016	00005	549
-128	0428	0331	-003	-030	-253	00000	00007	00007	550
-131	0423	0335	-006	-036	-245	-0008	00003	00007	551
-136	0436	0321	-002	-022	-260	-0018	00017	00006	552
-130	0432	0324	0004	-027	-259	00030	00007	00001	553
-133	0425	0326	0004	-029	-256	-0004	00004	00008	554
-136	0430	0324	0000	-034	-254	-0035	00027	00010	555
-132	0434	0338	0002	-029	-253	00013	00023	00005	556
-133	0431	0323	-001	-028	-255	00010	00005	-0003	557
-132	0430	0338	0000	-024	-244	00030	00009	00018	558
-138	0426	0337	0006	-020	-255	00024	00005	-0001	559
-135	0433	0332	-002	-027	-250	-0019	00015	00001	560
-135	0431	0329	-005	-025	-257	-0008	00017	00007	561
-135	0430	0325	-005	-027	-262	00000	00010	00001	562
-134	0434	0329	0000	-027	-250	-0001	00020	00008	563
-142	0427	0323	-005	-024	-254	00000	00009	00010	564
-134	0435	0326	0004	-022	-253	-0014	00001	00007	565
-124	0426	0326	-003	-026	-250	-0011	00017	00008	566
-133	0430	0330	0006	-030	-257	00003	00014	00002	567
-136	0429	0322	0001	-020	-253	00006	00011	00008	568
-136	0431	0328	-002	-025	-250	-0010	00016	00002	569
-136	0433	0325	-002	-027	-256	-0008	00012	00001	570
-136	0423	0329	-003	-022	-259	-0002	00014	00003	571
-130	0429	0332	-006	-032	-254	-0005	00008	00008	572
-130	0421	0323	-004	-025	-253	00001	00006	00006	573
-138	0434	0321	0007	-028	-250	-0009	00020	00011	574
-140	0433	0336	0000	-027	-259	-0002	00009	-0002	575
-137	0430	0330	0007	-021	-250	-0024	00015	00254	576
-136	0432	0332	0004	-028	-250	00008	00009	00003	577
-133	0432	0321	-001	-025	-257	00023	00010	00001	578
-137	0425	0330	0004	-024	-251	00004	00006	00006	579
-136	0434	0324	0003	-027	-258	-0011	00012	00001	580
-133	0435	0333	-001	-033	-254	-0012	00015	-0002	581
-136	0440	0330	-004	-025	-253	00016	00011	00008	582
-132	0441	0321	-001	-034	-255	00019	00011	00008	583
-132	0424	0328	-003	-021	-248	00019	00006	00002	584
-143	0429	0324	0006	-025	-258	00008	00012	00003	585
-136	0424	0322	-005	-027	-253	00004	00021	00008	586
-138	0431	0331	0004	-024	-260	-0001	00015	00009	587
-135	0430	0327	0000	-020	-254	00004	00006	-0001	588
-134	0430	0330	-002	-027	-245	-0017	00011	00008	589
-130	0434	0337	0003	-029	-253	00000	00005	00007	590
-134	0420	0327	-008	-020	-257	-0011	00024	00004	591
-137	0432	0336	0005	-023	-265	00009	00012	00005	592
-136	0442	0320	-003	-028	-255	00012	00007	00004	593
-131	0426	0326	-003	-023	-259	00002	00013	00006	594
-136	0433	0335	0001	-033	-254	00003	00013	00008	595
-128	0435	0326	-005	-027	-258	00006	00015	00006	596
-129	0426	0322	-001	-022	-254	-0009	00014	00000	597
-135	0434	0332	0005	-023	-254	00000	00009	00004	598
-129	0423	0329	0006	-027	-256	-0004	00012	00003	599
-136	0436	0332	0003	-026	-254	00008	00009	00002	600
-142	0438	0326	0011	-025	-253	-0002	00008	00003	601
-137	0434	0335	-006	-024	-253	-0003	00013	00008	602
-134	0431	0326	-001	-022	-257	-0001	00009	00011	603
-135	0424	0332	0004	-026	-253	-0001	00005	00010	604
-140	0432	0326	-004	-024	-251	-0002	00015	00000	605
-138	0430	0326	-006	-022	-257	-0008	00016	00007	606
-141	0440	0329	0001	-029	-249	-0038	00028	00008	607
-139	0427	0330	-001	-030	-248	00002	00005	00010	608
-131	0436	0330	-002	-028	-253	-0007	-0005	00001	609
-139	0431	0330	0002	-030	-258	00001	-0009	-0002	610
-138	0437	0330	-005	-027	-262	-0001	00022	00009	611
-131	0433	0322	-005	-029	-253	-0012	00028	00010	612
-130	0428	0330	0001	-029	-252	-0004	00008	00009	613
-139	0429	0329	0001	-021	-260	00001	00004	00004	614
-135	0433	0330	-002	-027	-255	00004	00014	00007	615
-134	0422	0325	0003	-023	-254	00002	00013	00009	616
-131	0422	0330	-005	-024	-256	00001	00012	00009	617
-135	0424	0322	-003	-025	-255	-0001	00010	00005	618
-133	0431	0328	0009	-016	-262	00078	-0035	00007	619
-133	0430	0322	0007	-023	-249	00048	00021	00021	620
-137	0431	0337	0001	-025	-250	-0064	00008	-0010	621
-137	0429	0318	-004	-019	-258	-0011	00004	00001	622
-137	0432	0323	0005	-029	-254	00017	00018	-0009	623
-135	0435	0325	-007	-025	-249	-0015	00025	00000	624
-140	0433	0323	-002	-018	-253	-0058	00021	00017	625
-128	0424	0331	-005	-028	-258	-0056	-0016	00044	626
-133	0436	0331	-002	-030	-250	00022	-0003	00002	627
-132	0434	0339	0000	-022	-262	00000	00000	00003	628
-138	0435	0325	0004	-021	-248	-0008	00004	00000	629
-139	0425	0326	0004	-025	-260	-0001	00012	00008	630
-129	0436	0331	0000	-027	-251	-0011	00026	00008	631
-137	0436	0330	-002	-024	-251	-0007	00018	-0001	632
-129	0430	0333	-004	-035	-257	-0034	00035	00000	633
-129	0431	0333	-004	-023	-259	-0046	00044	00029	634
-133	0432	0325	0001	-015	-249	-0065	-0010	-0019	635
-138	0428	0322	0005	-039	-261	00030	00008	-0025	636
-132	0432	0324	0007	-036	-246	00003	00028	00030	637
-139	0428	0334	-002	-033	-251	00079	00001	-0001	638
-133	0422	0326	0008	-028	-254	00012	-0003	00008	639
-138	0428	0332	-002	-025	-246	-0045	00024	00005	640
-144	0423	0330	-001	-026	-255	-0049	00021	00001	641
-139	0429	0327	0005	-021	-256	-0026	00019	00003	642
-132	0430	0330	0002	-030	-245	00017	00004	00002	643
-133	0423	0331	0006	-020	-254	00046	-0003	-0001	644
-139	0432	0328	0004	-024	-250	00004	00018	00010	645
-136	0430	0327	-002	-024	-254	-0008	00008	-0002	646
-139	0427	0340	-012	-028	-254	-0001	00019	00018	647
-127	0428	0319	0035	-007	-305	00681	-0167	-0039	648
-136	0427	0324	-010	-063	-390	-0579	00084	00026	649
-133	0427	0330	-024	-025	-217	-0349	00084	-0011	650
-129	0429	0331	-001	-023	-252	00165	00013	00012	651
-136	0424	0321	0006	-022	-260	00156	-0058	-0039	652
-131	0429	0318	0012	-013	-266	00111	-0002	-0019	653
-131	0402	0343	-002	-023	-274	00271	-0040	00042	654
-123	0384	0351	-013	-031	-263	-0011	00319	-0006	655
-124	0387	0350	-012	-005	-251	00122	-0187	-0010	656
-098	0391	0342	-025	-026	-338	00181	00225	-0262	657
-176	0407	0357	0020	0002	-236	-0352	-0396	00082	658
-131	0418	0345	0011	-018	-240	00572	-0130	00021	659
-156	0406	0356	-023	-025	-231	-0518	00053	00022	660
-156	0396	0360	-001	-025	-258	00276	00045	-0029	661
-145	0407	0347	-011	-035	-269	00110	00034	00064	662
-157	0395	0346	0005	-013	-251	-0100	-0094	00029	663
-142	0417	0353	-005	-035	-242	00151	00007	-0090	664
-158	0413	0351	0004	-019	-265	-0050	00068	-0033	665
-148	0415	0352	-008	-016	-257	00194	-0093	00040	666
-131	0411	0341	-011	-034	-250	-0150	00093	-0043	667
-112	0403	0345	-024	-021	-273	00317	00026	-0023	668
-129	0416	0347	-017	-019	-258	-0216	00016	-0033	669
-131	0427	0342	-017	-026	-255	-0118	-0010	-0035	670
-131	0428	0354	-039	-022	-270	-0069	00051	-0047	671
-140	0415	0344	-022	-022	-259	00060	-0047	00032	672
-138	0425	0348	-013	-030	-261	00010	00243	00026	673
-125	0419	0345	-017	-021	-266	00047	00050	00024	674
-129	0419	0337	-005	-030	-256	00009	00074	-0098	675
-141	0408	0347	-024	-016	-240	-0168	00078	00016	676
-138	0418	0347	-006	-020	-269	00169	-0025	00106	677
-123	0408	0350	-027	-024	-253	-0116	00108	00119	678
-130	0410	0355	-007	-016	-253	-0080	00003	-0021	679
-133	0401	0351	-019	-006	-247	-0108	00076	-0013	680
-121	0417	0347	-015	-018	-246	00036	00100	00014	681
-131	0404	0365	-014	0004	-242	-0116	00135	00008	682
-120	0390	0358	-033	-005	-241	-0007	00087	00019	683
-103	0403	0357	-003	0029	-290	00106	-0236	00099	684
-102	0414	0346	-025	-007	-225	-0512	-0274	00083	685
-089	0417	0341	-017	-018	-270	-0304	-0010	-0212	686
-083	0410	0340	-019	-025	-262	00063	00051	-0045	687
-090	0438	0324	-032	-020	-256	00362	-0101	-0149	688
-129	0434	0342	-042	-028	-216	-0305	00194	-0080	689
-118	0439	0351	0002	-017	-261	00414	-0244	00083	690
-117	0435	0334	-036	-025	-260	-0513	-0098	-0004	691
-114	0438	0341	0000	-033	-239	00303	00088	00089	692
-119	0439	0321	-023	-033	-260	-0223	-0041	-0040	693
-106	0451	0319	-024	-042	-264	-0098	-0022	00016	694
-104	0462	0319	-033	-051	-232	00003	00064	-0003	695
-104	0452	0315	0041	-044	-310	00072	00007	-0004	696
-096	0452	0321	-030	-055	-240	00050	00191	00024	697
-102	0457	0324	-026	-042	-257	00038	00025	-0002	698
-092	0452	0312	-025	-038	-243	00028	00002	00013	699
-097	0455	0320	-026	-047	-243	-0018	00024	00004	700
-092	0455	0318	-023	-046	-263	-0009	00008	00007	701
-090	0455	0318	-021	-049	-257	00022	00000	00008	702
-103	0459	0325	-016	-045	-246	00025	00019	00013	703
-102	0452	0322	-021	-041	-249	00008	00016	00004	704
-094	0456	0322	-016	-044	-242	00018	00021	00017	705
-096	0450	0320	-025	-044	-244	00025	-0001	-0001	706
-103	0460	0329	-021	-044	-247	-0002	00015	00009	707
-107	0458	0321	-024	-041	-247	-0004	00013	00002	708
-093	0453	0319	-017	-048	-248	-0001	00012	00010	709
-103	0452	0318	-023	-042	-241	-0013	00011	00006	710
-101	0459	0319	-023	-033	-247	-0014	00008	-0001	711
-102	0452	0326	-022	-047	-245	-0009	00007	00000	712
-102	0453	0325	-026	-046	-254	00024	00000	00004	713
-095	0461	0316	-032	-037	-250	00024	-0001	00001	714
-085	0450	0317	-029	-039	-247	00001	00012	-0002	715
-097	0449	0315	-024	-038	-253	00030	-0003	00006	716
-092	0448	0322	-029	-040	-254	00018	00005	00007	717
-105	0456	0322	-023	-044	-244	-0002	00014	00006	718
-096	0451	0327	-017	-046	-253	-0012	00018	00002	719
-089	0449	0311	-024	-041	-265	-0006	00012	00005	720
-103	0450	0325	-019	-040	-249	00007	00008	00006	721
-089	0456	0322	-022	-037	-256	00005	00004	00004	722
-092	0438	0321	-016	-047	-253	00001	00013	00003	723
-104	0452	0313	-019	-043	-249	-0004	00015	00004	724
-100	0450	0314	-018	-033	-254	00001	00013	00008	725
-100	0460	0317	-020	-038	-249	00000	00013	00005	726
-091	0454	0312	-016	-038	-254	-0001	00010	00004	727
-086	0443	0315	-028	-048	-252	00000	00013	00006	728
-095	0447	0319	-020	-040	-248	-0001	00009	00002	729
-096	0450	0321	-021	-040	-254	00002	00010	00006	730
-089	0451	0317	-021	-043	-247	-0001	00008	00006	731
-097	0448	0319	-031	-043	-248	-0053	00012	-0010	732
-103	0450	0327	-027	-039	-260	00003	00009	00013	733
-101	0442	0324	-009	-041	-263	00076	-0022	00031	734
-086	0441	0318	-028	-044	-242	00105	00000	-0011	735
-091	0452	0316	-036	-042	-240	00097	-0002	-0022	736
-084	0456	0308	-030	-042	-255	00008	-0022	-0002	737
-082	0470	0302	-029	-044	-249	00053	00013	-0011	738
-077	0446	0307	-037	-052	-248	00001	00149	00082	739
-086	0443	0318	-019	-034	-258	-0076	00061	-0007	740
-100	0416	0326	-014	-026	-248	-0030	00149	-0030	741
-104	0438	0320	-022	-027	-247	00006	-0082	-0018	742
-103	0445	0311	-024	-031	-254	00030	00008	00004	743
-091	0436	0309	-034	-025	-256	-0022	00043	-0029	744
-095	0430	0308	-029	-036	-261	-0021	00010	-0004	745
-098	0435	0316	-025	-039	-258	00000	-0021	-0019	746
-105	0439	0315	-028	-031	-249	00000	-0021	-0034	747
-105	0439	0313	-027	-033	-259	00019	00015	00007	748
-103	0425	0310	-021	-032	-241	00033	00052	00019	749
-100	0426	0317	-019	-024	-258	00024	00019	-0014	750
-107	0424	0321	-028	-042	-249	00055	00023	-0009	751
-106	0410	0319	-034	-022	-261	00072	-0050	-0050	752
-098	0406	0323	-030	-028	-263	00000	00136	-0029	753
-111	0396	0329	-036	-020	-240	-0058	00129	00013	754
-105	0416	0322	-017	-021	-240	00037	-0210	00025	755
-093	0419	0319	-039	-035	-244	00013	-0020	00015	756
-116	0405	0321	-031	-030	-247	-0066	00086	00030	757
-104	0412	0318	-022	-035	-240	00017	00019	-0006	758
-102	0407	0324	-022	-023	-251	-0016	00013	00005	759
-116	0413	0327	-034	-029	-256	-0008	00048	00008	760
-104	0418	0318	-025	-026	-248	-0046	00027	00012	761
-104	0419	0325	-032	-025	-246	-0056	-0015	-0007	762
-107	0431	0325	-030	-021	-258	-0001	00008	00017	763
-113	0432	0323	-021	-030	-244	00013	00027	00013	764
-107	0429	0318	-022	-026	-245	00063	-0052	-0003	765
-115	0447	0318	-021	-027	-266	-0016	00019	-0011	766
-110	0440	0324	-020	-033	-247	00005	00030	-0038	767
-097	0451	0314	-024	-041	-248	00108	-0174	00071	768
-100	0447	0310	-033	-037	-264	-0007	00071	00016	769
-096	0440	0312	-021	-025	-267	00081	-0027	00012	770
-107	0444	0313	-033	-045	-258	-0107	-0028	-0013	771
-117	0450	0304	-021	-034	-261	-0014	00029	-0009	772
-118	0453	0311	-015	-044	-242	00029	00025	00019	773
-107	0444	0310	-019	-041	-255	00001	-0034	-0011	774
-109	0431	0314	-024	-042	-265	00051	00018	00005	775
-111	0432	0304	-023	-032	-250	00010	-0017	00007	776
-109	0439	0306	-022	-037	-237	00053	-0047	00002	777
-104	0446	0311	-040	-038	-223	00001	-0044	00013	778
-103	0462	0308	-037	-053	-242	-0022	00099	-0023	779
-105	0445	0307	-037	-043	-249	00033	00097	-0010	780
-105	0437	0306	-032	-042	-245	-0054	00014	-0044	781
-104	0444	0313	-034	-037	-244	-0043	00010	-0077	782
-106	0450	0310	-027	-040	-263	-0056	00035	-0102	783
-119	0451	0314	-028	-041	-257	00025	00082	-0024	784
-123	0449	0325	-017	-037	-245	-0003	00016	-0020	785
-125	0448	0317	-026	-025	-249	00030	-0007	-0001	786
-119	0463	0325	-014	-033	-255	00055	-0126	-0014	787
-116	0452	0314	-033	-047	-260	-0029	00071	00040	788
-108	0443	0319	-024	-031	-255	00051	00065	-0016	789
-133	0450	0317	-037	-033	-256	-0086	-0044	-0064	790
-137	0441	0322	-016	-033	-259	-0003	00018	-0042	791
-140	0437	0317	-017	-026	-249	-0002	00066	-0056	792
-139	0431	0316	-013	-026	-242	00057	00018	-0100	793
-141	0436	0318	-019	-038	-272	00032	-0099	-0054	794
-148	0447	0320	-024	-029	-233	-0018	-0113	-0118	795
-150	0454	0313	-014	-037	-232	00039	00077	-0070	796
-157	0449	0323	-028	-037	-234	-0060	00064	-0062	797
-171	0456	0318	-025	-043	-257	-0026	00128	-0188	798
-178	0446	0328	-025	-036	-244	00091	00115	-0027	799
-156	0442	0326	-037	-023	-259	-0049	00063	00038	800
-155	0446	0333	-021	-022	-260	-0036	00017	-0010	801
-165	0445	0333	-033	-027	-255	-0030	-0003	00009	802
-162	0445	0331	-032	-028	-272	-0047	00088	00025	803
-165	0434	0327	-023	-028	-254	-0001	00063	00044	804
-167	0444	0331	-019	-022	-244	00017	-0098	00022	805
-163	0440	0318	-024	-024	-248	00008	-0040	00045	806
-160	0432	0327	-019	-034	-243	00037	00060	00012	807
-151	0424	0328	-025	-032	-235	00188	-0001	00029	808
-164	0437	0313	0016	-001	-297	-0156	-0041	00017	809
-156	0441	0314	-031	-043	-253	-0030	00063	00031	810
-148	0429	0326	-038	-043	-247	00009	00092	-0029	811
-152	0430	0331	-028	-026	-252	-0208	00057	00008	812
-151	0433	0330	-011	-022	-259	00061	00058	00010	813
-153	0444	0341	-025	-028	-250	-0019	00014	00023	814
-145	0438	0328	-027	-038	-244	00093	00031	00073	815
-143	0438	0322	-015	-018	-279	00094	00080	00043	816
-142	0434	0327	-027	-026	-262	-0039	00003	00037	817
-152	0432	0330	-020	-026	-238	-0012	-0038	00016	818
-151	0432	0326	-026	-026	-256	-0018	-0092	00002	819
-161	0439	0324	-032	-034	-242	-0049	-0076	-0043	820
-154	0445	0322	-021	-037	-206	-0019	00051	00028	821
-153	0439	0316	-020	-034	-221	-0069	00082	-0008	822
-168	0436	0325	-023	-037	-271	-0150	00079	00044	823
-139	0427	0335	-013	-027	-274	00140	00136	00010	824
-137	0424	0335	-030	-025	-255	-0052	-0029	00104	825
-142	0413	0336	-030	-022	-270	-0041	00105	00073	826
-148	0418	0327	-017	-013	-267	-0043	00008	00004	827
-152	0423	0331	-024	-025	-241	00016	-0117	-0004	828
-144	0432	0327	-025	-027	-214	00071	-0066	-0011	829
-146	0437	0325	-014	-018	-226	-0001	-0018	-0046	830
-150	0438	0328	-015	-035	-242	-0136	00017	00013	831
-142	0439	0321	-023	-023	-270	00186	00054	-0051	832
-151	0441	0328	-024	-033	-258	-0160	00100	00043	833
-155	0445	0323	-003	-021	-269	-0006	-0035	00022	834
-152	0440	0324	-039	-032	-288	00001	00127	00075	835
-154	0416	0340	-018	-010	-256	-0003	00070	00058	836
-149	0414	0328	-014	-011	-246	00103	-0045	-0003	837
-149	0403	0335	-021	-021	-237	-0028	-0124	00082	838
-144	0417	0319	-022	-033	-202	00019	00023	00047	839
-145	0428	0321	-026	-020	-243	-0011	00028	-0031	840
-147	0429	0329	-020	-020	-245	-0035	00067	00016	841
-140	0426	0324	-038	-021	-240	-0176	-0025	00107	842
-145	0423	0323	-030	-028	-253	00103	00058	-0031	843
-140	0434	0328	-032	-023	-290	-0064	00039	00045	844
-159	0410	0335	-021	-017	-265	-0081	00106	00012	845
-155	0402	0336	-029	-021	-253	-0013	-0008	00038	846
-153	0417	0321	-019	-017	-244	-0019	-0141	00010	847
-150	0426	0333	-006	-024	-208	00007	-0022	00019	848
-145	0429	0322	-028	-028	-228	00051	00038	-0012	849
-142	0427	0328	-019	-020	-248	-0040	00078	00016	850
-141	0431	0328	-009	-015	-275	00074	-0033	-0029	851
-147	0439	0326	-050	-025	-287	-0017	00047	00019	852
-152	0416	0330	-013	-021	-273	-0028	00066	00054	853
-158	0404	0327	-018	-010	-254	00090	-0081	00011	854
-152	0412	0327	-024	-019	-213	-0071	-0072	00013	855
-143	0424	0320	-024	-025	-199	00026	-0038	00036	856
-148	0430	0328	-032	-024	-226	-0273	00114	00068	857
-145	0429	0329	-009	-013	-291	00217	-0049	-0035	858
-143	0425	0333	-021	-024	-324	-0027	00140	00046	859
-155	0416	0326	-015	-001	-268	00042	-0124	-0039	860
-149	0415	0333	-024	-031	-165	-0015	00030	00061	861
-143	0434	0324	-011	-026	-218	00120	00011	-0002	862
-148	0420	0334	-031	-008	-279	-0243	00106	00086	863
-143	0420	0335	-064	-005	-316	00067	-0024	-0022	864
-155	0412	0330	-021	-013	-293	-0125	00026	00001	865
-149	0414	0334	-030	-036	-219	00044	-0005	00012	866
-156	0416	0336	-007	-019	-154	00009	-0069	-0001	867
-142	0418	0318	-024	-027	-259	-0109	00087	00096	868
-144	0427	0327	-031	-015	-324	00189	00078	-0010	869
-141	0410	0333	-041	-016	-307	-0060	00136	00003	870
-140	0408	0326	-007	-034	-215	00079	00067	00018	871
-152	0402	0333	-008	-011	-153	00025	-0078	00006	872
-156	0429	0327	-029	-038	-239	-0039	00000	00020	873
-162	0431	0328	-021	-014	-270	-0060	00061	-0021	874
-145	0423	0327	-040	-015	-330	00005	-0001	00039	875
-158	0408	0329	-029	0004	-268	00042	-0123	-0048	876
-137	0413	0326	-015	-048	-178	00110	00082	00028	877
-143	0431	0334	-028	0001	-190	00011	-0248	-0149	878
-152	0431	0331	-016	-031	-255	-0139	00236	00024	879
-147	0416	0339	-048	-017	-298	00002	00069	00046	880
-148	0413	0328	-042	-009	-313	-0028	-0013	-0026	881
-129	0405	0330	-022	-004	-262	00150	-0086	00021	882
-150	0406	0329	-014	-020	-174	-0065	-0012	-0033	883
-155	0428	0327	-011	-012	-221	-0062	-0025	-0016	884
-144	0428	0326	-033	-029	-269	-0220	00167	00045	885
-137	0429	0331	-026	-018	-306	00193	00023	00029	886
-146	0418	0334	-028	-021	-291	00009	-0026	-0019	887
-141	0422	0329	-027	-027	-223	00071	-0028	-0017	888
-156	0424	0329	-022	-031	-144	-0114	-0016	00067	889
-152	0432	0322	-024	-015	-245	00147	00044	-0025	890
-151	0416	0333	-009	-017	-279	-0197	00250	00067	891
-147	0401	0336	-027	-009	-321	00088	00047	-0032	892
-141	0405	0331	-025	-017	-254	00077	-0114	00004	893
-149	0408	0331	-039	-043	-231	-0107	-0068	00030	894
-141	0415	0332	-017	-024	-162	00159	-0018	00018	895
-135	0416	0324	-007	-024	-241	00050	00097	00023	896
-148	0409	0338	-023	-018	-260	-0187	00076	00028	897
-138	0432	0326	-048	-021	-273	00074	00013	00010	898
-137	0397	0338	-031	-010	-276	-0085	00137	00044	899
-143	0406	0335	-025	-009	-237	00057	-0173	00032	900
-134	0420	0325	-026	-031	-216	00028	-0130	-0047	901
-149	0418	0320	-027	-026	-236	-0131	00064	-0002	902
-135	0414	0329	-017	-021	-220	00091	00094	00010	903
-138	0412	0326	-042	-031	-249	-0036	00035	-0024	904
-134	0402	0332	-022	-012	-309	-0032	00072	-0024	905
-147	0399	0339	-020	-011	-306	-0058	00029	00047	906
-146	0410	0336	-027	-023	-224	-0073	-0164	00039	907
-149	0423	0335	-004	-027	-145	00170	00047	00008	908
-149	0405	0323	-038	-024	-207	-0130	00134	00111	909
-130	0423	0327	-051	-011	-327	00111	-0002	00015	910
-138	0408	0336	-031	-019	-282	-0109	00134	-0039	911
-153	0411	0333	-024	-010	-291	-0064	-0023	-0004	912
-149	0397	0327	-024	-003	-272	00070	00010	00041	913
-154	0399	0345	-015	-017	-233	00046	-0104	00053	914
-137	0417	0327	-003	-018	-172	00143	-0109	-0050	915
-133	0422	0324	-035	-028	-211	00080	00230	-0120	916
-137	0416	0329	-038	-028	-264	-0250	00130	00099	917
-137	0411	0331	-034	-011	-322	00096	-0084	-0004	918
-153	0417	0324	-014	-003	-272	-0114	-0103	00012	919
-150	0416	0326	-019	-028	-246	00007	-0091	00070	920
-147	0427	0327	-019	-032	-217	-0029	-0102	00008	921
-152	0425	0326	-020	-037	-223	00007	00063	-0009	922
-147	0422	0328	-025	-030	-250	00050	00071	-0013	923
-145	0414	0321	-022	-033	-256	00005	00086	00025	924
-132	0415	0327	-027	-029	-257	00094	-0051	-0008	925
